pid,titulo,label,Año,descripción,enlance
Scrp-F-14,Frente al ídolo: entre la historia heredada y la que está por escribirse,jugadoras Scorpions frente al monumento de Carlos “El Pibe” Valderrama,2006,"La imagen muestra a tres jugadoras de Scorpions posando frente al monumento de Carlos “El Pibe” Valderrama, una de las figuras más emblemáticas del fútbol colombiano. Este encuentro entre las jugadoras y el ídolo simboliza un cruce entre la historia oficial del fútbol —tradicionalmente masculina— y las nuevas generaciones que buscan construir su propio lugar dentro del deporte.",https://drive.google.com/file/d/10pU1GhhljRuKNZrX21_jMjlHKliFNL2G/view?usp=sharing
Scrp-F-15,"Como nos nombramos: apodos, identidad y complicidad en el equipo","Jugadoras Scorpions – dorsales con apodos (Paisa, Kade, Mariale)",2006,"La imagen muestra a tres jugadoras del equipo femenino de Scorpions de espaldas, dejando ver no solo sus números, sino también sus apodos: “Paisa”, “Kade” y “Mariale”. Este detalle revela una dimensión íntima del equipo, donde la identidad no se construye únicamente desde el nombre formal, sino desde las formas en que se reconocen entre ellas.",https://drive.google.com/file/d/1TVmKW6ncxFO2Vi7bDSm0HDuLa5Y4LH2q/view?usp=sharing
Scrp-F-16,Entre nosotras: nombres que solo el equipo entiende,"Jugadoras Scorpions – dorsales con apodos (Mon, Mariale, Tati)",2006,"La imagen muestra a tres jugadoras del equipo femenino de Scorpions de espaldas, donde se leen sus apodos y números en las camisetas: “Mon”, “Mariale” y “Tati”. Este tipo de registros revela una dimensión íntima del fútbol que rara vez aparece en los relatos oficiales: la forma en que las jugadoras se nombran y se reconocen entre ellas.",https://drive.google.com/file/d/1KYgTpw9oHrCfjNW2lwZQ4Vvat_pwHFPm/view?usp=sharing
Scrp-F-17,Mirar de cerca: entre la admiración y el derecho a ocupar ese lugar,Jugadoras Scorpions con jugador profesional – encuentro cercano,2012,"La imagen muestra a varias jugadoras jóvenes de Scorpions compartiendo un momento cercano con un jugador profesional. La proximidad física refleja también una cercanía simbólica con el mundo del fútbol de alto nivel, un espacio que históricamente ha sido más accesible y visible para los hombres.",https://drive.google.com/file/d/1shuQH1kvnUUCXWnhQz30JCnFSnO6wWS5/view?usp=sharing
Scrp-F-18,"Un rostro, una historia: reconocer para no olvidar",ugadora Scorpions – retrato en cancha (pre partido),2019,"La imagen presenta el retrato cercano de una jugadora de Scorpions en la cancha, en un momento previo al partido. Este tipo de fotografía permite detenerse en el rostro, en la expresión y en la presencia individual, elementos que muchas veces se diluyen en la lógica colectiva del equipo.",https://drive.google.com/file/d/1e7CfwhHBNPZSvSKxx-D2Y7bg5MmPW40p/view?usp=sharing
Scrp-F-19,Estar ahí: habitar la cancha también es hacer historia,Jugadora Scorpions – retrato en cancha con uniforme oficial,2019,"La imagen muestra a una jugadora del equipo femenino de Scorpions posando en la cancha con su uniforme, en un momento previo al partido. Este tipo de retratos, aunque sencillos, tienen un valor profundo dentro de la construcción de memoria del fútbol femenino, ya que evidencian la presencia de las jugadoras en espacios que históricamente no siempre les han sido reconocidos.",https://drive.google.com/file/d/1oXBpt0meDV2PEpylVCtYskeLKmWPq6WW/view?usp=sharing
Scrp-F-20,Más que un equipo: una comunidad que crece junta,Equipo Scorpions mixto – formación grupal en cancha,2019,"La imagen muestra a un grupo amplio de jugadores y jugadoras de Scorpions posando juntos en la cancha, incluyendo también a una niña en el centro, lo que refuerza la idea de un espacio abierto, formativo y comunitario. Esta fotografía va más allá de la lógica competitiva del equipo tradicional y evidencia una red más amplia de relaciones que sostienen el proyecto deportivo.",https://drive.google.com/file/d/1g7TMPxf6xjJHRP7T-igcvDtWRc_6dIb7/view?usp=sharing
Scrp-F-21,Entre olas y risas: el equipo también se construye en la alegría,Equipo femenino Scorpions en viaje a Cartagena de Indias,2006,"La imagen muestra a un grupo amplio de jugadoras de Scorpions durante un viaje a Cartagena de Indias, en un momento de esparcimiento frente al mar. Este tipo de registros revela una dimensión del fútbol femenino que va más allá de la competencia: los espacios de descanso, celebración y convivencia que fortalecen los vínculos del equipo.",https://drive.google.com/file/d/1TESCsZzAX96QmAgUIvXneIVUkbQKUJiW/view?usp=sharing
Scrp-F-22,Ocupar la cancha: el equipo que se hace visible,Equipo femenino Scorpions en formación – fotografía post partido en cartagena,2006,"La imagen muestra al equipo femenino de Scorpions posando en la cancha tras un partido, en una formación que evidencia unidad, esfuerzo compartido y presencia colectiva. El fondo del escenario, con graderías visibles, refuerza la idea de un espacio tradicionalmente asociado al fútbol masculino, ahora habitado por mujeres que disputan su lugar dentro del deporte.",https://drive.google.com/file/d/1ii1GbEfJ0ksaADe7TMszmNzhASEmQ9XF/view?usp=sharing
Scrp-F-23,Sonreír juntas: el fútbol también es alegría compartida,Jugadoras Scorpions – selfie en cancha / momento informal,2019,"La imagen captura un momento espontáneo entre dos jóvenes vinculadas al entorno de Scorpions, en una selfie tomada en la cancha. Lejos de la formalidad del partido o la formación del equipo, esta fotografía revela una dimensión íntima y cotidiana del fútbol: la alegría, la cercanía y la complicidad que se construyen alrededor del juego.",https://drive.google.com/file/d/1dW2GrVIGdbtiMrswIxor-_tZBBhO9ka7/view?usp=sharing
Scrp-F-24,Ganar juntas: memoria del esfuerzo que también llegó al mar,Equipo femenino Scorpions campeón en Cartagena – fotografía con trofeo,2001,"La imagen reúne al equipo femenino de Scorpions en Cartagena de Indias, celebrando un triunfo reflejado en el trofeo y el balón que aparecen en primer plano. Este montaje visual no solo documenta la victoria, sino que construye una narrativa simbólica del logro colectivo: el equipo, el escenario y los objetos del triunfo se integran en una misma memoria.",https://drive.google.com/file/d/1sSnE4ZRD3JLZI5g0ernPRPnyzpTXyiA3/view?usp=sharing
Scrp-F-25,El juego en movimiento: donde el equipo se vuelve acción,Equipo femenino Scorpions en entrenamiento / calentamiento en cancha,2008,"La imagen muestra a un grupo de jugadoras de Scorpions en pleno ejercicio dentro de la cancha, probablemente durante un calentamiento o entrenamiento. A diferencia de las fotografías posadas, aquí el equipo aparece en movimiento, en acción, evidenciando el fútbol como práctica viva y dinámica.",https://drive.google.com/file/d/1JNDIGduRv6V6u7c9k-nyJq4fTXw3Nlre/view?usp=sharing
Scrp-F-26,Celebrar juntas: la victoria como memoria compartida,Equipo femenino Scorpions campeón – premiación con medallas y trofeo,2005,"La imagen muestra al equipo femenino de Scorpions reunido tras una premiación, con medallas al cuello y el trofeo en el centro. Este momento captura la culminación de un proceso colectivo marcado por el esfuerzo, la disciplina y la constancia, donde cada jugadora aporta a un logro compartido.",https://drive.google.com/file/d/10qRN5R2IcF829PdETqJ7PJ0Ak9Vs5KSh/view?usp=sharing
Scrp-F-27,Una sonrisa que permanece: identidad y memoria en primer plano,Jugadora Scorpions – retrato cercano en cancha,2019,"La imagen presenta el retrato cercano de una jugadora de Scorpions en la cancha, capturando su expresión en un momento previo o posterior al juego. Este tipo de fotografías permite centrar la atención en el rostro, en la emoción y en la presencia individual, elementos que son fundamentales para humanizar la memoria del equipo.",https://drive.google.com/file/d/1n85OxiG__V6doR16P2Fbdhd3A7ikLOKZ/view?usp=sharing
Scrp-F-28,Llegar más lejos: visibilidad y oportunidades en el fútbol femenino,Equipo femenino Scorpions en evento deportivo con patrocinio (Gatorade),2006,"La imagen muestra a un grupo de jugadoras del equipo femenino de Scorpions posando en un evento deportivo, acompañadas de una valla publicitaria de Gatorade. Este tipo de escenarios evidencia la relación entre el fútbol femenino y los espacios de patrocinio, donde comienza a abrirse una mayor visibilidad para las jugadoras dentro del ámbito deportivo.",https://drive.google.com/file/d/1tuQicA1AZBw2InWO9GiDDjJQwqSquOmc/view?usp=sharing
Scrp-F-29,Una presencia que cuenta: identidad y memoria en cada rostro,"Jugadora Scorpions – retrato individual en cancha, Sofia Cortez ",2019,"La imagen presenta el retrato cercano de una jugadora del equipo femenino de Scorpions en la cancha, capturando su expresión en un momento de calma dentro de la dinámica del juego. Este tipo de registros permite centrar la mirada en la individualidad dentro del colectivo, resaltando la importancia de cada jugadora en la construcción de la historia del equipo.",https://drive.google.com/file/d/1x5pC9aCf3YOvksgKR_xl7Ys7V-YR01MT/view?usp=sharing
Scrp-F-30,Registrar para competir: identidad y participación en la Copa,Carnet / registro de participación – Copa de fútbol (control de jugadoras),2020,"La imagen corresponde a un carnet o registro utilizado en el marco de una Copa de fútbol, donde se organizan y validan las categorías, edades y participación de las jugadoras. Este tipo de documento cumple una función clave dentro del torneo, ya que permite formalizar la inscripción y garantizar la regulación de la competencia.",https://drive.google.com/file/d/1GpOE1RbwecfHCxow5IamKdHeg_7U7wo3/view?usp=sharing
Scrp-F-31,Defender también es volar: el cuerpo que responde al juego,Arquera Scorpions en acción – intento de atajada,2025,"La imagen captura a una arquera de Scorpions en pleno salto, estirando el cuerpo para alcanzar el balón en una jugada de alta exigencia. A diferencia de las imágenes posadas, aquí el protagonismo está en la acción: el reflejo, la técnica y la capacidad de respuesta en un instante decisivo del juego.",https://drive.google.com/file/d/1pNWwinwQXhBmKOvggDP7kmAp12jYn-6_/view?usp=sharing
Scrp-F-32,Sostener el juego: el momento en que todo pasa por sus manos,Arquera Scorpions – control del balón en juego,2025,"La imagen muestra a una arquera de Scorpions en el momento de controlar el balón con las manos, una acción clave que marca la transición entre defensa y construcción de juego. A diferencia del instante de vuelo o atajada, aquí se evidencia la toma de decisión, la calma y el control dentro de una jugada que puede definir el ritmo del partido.",https://drive.google.com/file/d/19VUuko77Apr0J8hNVFGgxM-T669f45Lj/view?usp=sharing
Scrp-F-33,Cruzar fronteras: el fútbol femenino que también llegó lejos,Equipo femenino Scorpions – participación en USA Cup (Schwan’s USA Cup),2001,"La imagen corresponde a un registro del equipo femenino de Scorpions en la USA Cup, un torneo internacional que reúne equipos de distintas partes del mundo. El montaje incluye tanto la fotografía oficial del equipo como la referencia institucional del evento, lo que refuerza su valor como documento histórico dentro del archivo.",https://drive.google.com/file/d/1GIr2GIWgKiNngrsmpQLUpg5SgrvsErrC/view?usp=sharing
Scrp-F-34,"Donde todo empieza: primeras formaciones, primeras historias",Categoría infantil Scorpions – formación frente al arco (registro temprano),2003,"La imagen reúne dos fotografías de categorías infantiles de Scorpions posando frente al arco, en lo que parecen ser registros tempranos del equipo. Estos momentos capturan el inicio de los procesos formativos, donde el fútbol comienza a tomar forma en la vida de las y los jugadores.",https://drive.google.com/file/d/1h7dgvIdL4lJlgg-tO9XQ0EtX4nLk6Y8h/view?usp=sharing
Scrp-F-35,Entre la cancha y la vida: historias que empiezan juntas,Categoría infantil Scorpions – formación y momento fuera de cancha,2004,"La imagen reúne dos momentos distintos pero conectados: por un lado, una formación de categoría infantil de Scorpions frente al arco; por otro, un instante fuera de la cancha, en un entorno cotidiano. Esta combinación permite ver el fútbol no solo como práctica deportiva, sino como parte de una experiencia más amplia en la vida de quienes participan.",https://drive.google.com/file/d/1IfSAko4RZPKRyOr7RlskB59G01oDmCVX/view?usp=sharing
Scrp-F-36,Soñar en grande: cuando el fútbol se mira desde el Maracaná,Niñas y niños en el Estadio Maracaná – experiencia como espectadores,2003,"La imagen muestra a un grupo de niñas y niños en el Estadio Maracaná, uno de los escenarios más emblemáticos del fútbol mundial. Este momento no solo registra una salida o viaje, sino un encuentro temprano con la magnitud del deporte: un estadio que concentra historia, ídolos y relatos que han definido el fútbol a nivel global.",https://drive.google.com/file/d/1Y0VeeHzinBjNlnPVyfbPjqgeZWFBrQgy/view?usp=sharing
Scrp-F-37,"Antes del equipo, la historia: vínculos que acompañan el camino",Jugadora Scorpions en viaje  / momento personal,2002,"La imagen reúne dos momentos de una niña acompañada por un adulto en un contexto de viaje, en espacios que parecen ser museos o exhibiciones. Lejos de la cancha, estos registros permiten ver la dimensión personal que antecede y acompaña la vida deportiva.",https://drive.google.com/file/d/1oSSv12rMF1wvEDjjJQrog_wUlHXVhNJo/view?usp=sharing
Scrp-F-38,Crecer jugando: del primer equipo a la historia compartida”,Categorías formativas Scorpions – evolución de equipos en el tiempo,2001,"La imagen reúne dos fotografías de equipos en distintas etapas del proceso formativo de Scorpions. En la parte superior se observa un grupo más reducido, posiblemente en una etapa inicial, mientras que en la inferior aparece un equipo más amplio y diverso, acompañado por adultos y en un contexto más consolidado.",https://drive.google.com/file/d/1NmMZPjdbeAEJiT4aAVyvsyzrhdcz4d_V/view?usp=sharing
Scrp-F-39,Salir a jugar: los primeros viajes que hicieron historia,Equipo femenino Scorpions en viaje a Cali (Valle) – registro grupal,1999,"La imagen reúne dos momentos del equipo femenino de Scorpions durante un viaje a Cali en octubre de 1999. En la parte superior, el grupo aparece reunido en lo que parece ser una terminal o aeropuerto, mientras que en la inferior se observa un momento de descanso en un espacio urbano. Ambos registros permiten reconstruir la experiencia completa del desplazamiento: la espera, el tránsito y la convivencia fuera de la cancha.",https://drive.google.com/file/d/1hJIV617_iEuLYExlZKs7Fe1T-tLBYSVi/view?usp=sharing
Scrp-F-40,Del viaje al triunfo: el camino también hace la victoria,Equipo femenino Scorpions en viaje y campeonato en Cartagena,2006,"La imagen articula dos momentos clave del equipo femenino de Scorpions: a la izquierda, el grupo durante el viaje, en un espacio de espera y tránsito; a la derecha, la celebración del campeonato en Cartagena, con el trofeo y el balón como símbolos del logro. Esta combinación construye una narrativa completa del proceso, donde el resultado no se entiende sin el camino que lo hizo posible.",https://drive.google.com/file/d/1l5HB7ntpsoaW0qbQQjmk9ogRIfGWZaAK/view?usp=sharing
Scrp-F-41,Representar más que un equipo: llevar el país en el juego,Equipo femenino Scorpions en torneo internacional – representación de Colombia,2001,"La imagen reúne dos momentos vinculados a un contexto internacional: en la parte superior, el equipo femenino de Scorpions posando con uniforme de Colombia; en la inferior, un desfile donde se observa la representación del país. Este conjunto construye una narrativa de participación que trasciende el equipo y se proyecta hacia una identidad nacional.",https://drive.google.com/file/d/1R8QVmA0aMg3_JzqIObH9D7MPRD63Nc22/view?usp=sharing
Scrp-F-42,Con maletas y un balón: viajar también era creer en el fútbol femenino,Equipo femenino Scorpions en terminal de viaje – salida a torneo,1999,"La imagen muestra al equipo femenino de Scorpions reunido en una terminal durante un viaje a torneo, rodeadas de maletas, balones y uniformes. Más que una simple fotografía grupal, el registro captura uno de los aspectos menos visibles del fútbol femenino amateur: todo lo que ocurre antes de entrar a la cancha.",https://drive.google.com/file/d/1NYt8LN5dtz_VtuuxpQne-0yBzXyGg8sU/view?usp=sharing
Scrp-F-43,El mar también guarda sus victorias,Equipo femenino Scorpions campeón en Cartagena de Indias,2006,"La imagen reúne al equipo femenino de Scorpions en Cartagena de Indias después de un torneo, acompañada por el trofeo obtenido y el balón firmado por las jugadoras. Más allá del registro deportivo, la fotografía conserva un momento de orgullo colectivo, celebración y reconocimiento para un grupo de mujeres que construyó su lugar en el fútbol desde el esfuerzo compartido.",https://drive.google.com/file/d/1XI4Jk1NoLXDDUblXn9p04RNp_vv7YlDC/view?usp=sharing
Scrp-F-44,Jugadoras de Scorpions en Cartagena de Indias – momento recreativo durante torneo,Jugadoras de Scorpions en Cartagena de Indias – momento recreativo durante torneo,2006,"La imagen muestra a un grupo de jugadoras de Scorpions compartiendo un momento en la playa durante un viaje a Cartagena de Indias. En el centro de la composición aparece escrito sobre la arena: “Recuerdos de Coqueta Oct. 14/10”, una intervención espontánea que convierte la fotografía en una memoria emocional y colectiva del equipo.",https://drive.google.com/file/d/1bqa2URLrz16QTyS7aeVyI0eR8TT9kd-F/view?usp=sharing
Scrp-F-45,Más allá de la cancha: juventudes que encontraron comunidad en el fútbol,Jugadoras de Scorpions en Cartagena de Indias – viaje de integración del equipo,2006,"La imagen muestra a un grupo de jugadoras de Scorpions compartiendo un momento de integración en la playa durante un viaje a Cartagena de Indias. Las dos fotografías capturan un espacio de descanso y convivencia fuera de la competencia, donde el equipo aparece desde una dimensión más humana y cotidiana.",https://drive.google.com/file/d/1FFZz7UGapWDQ069UoKHpH28zZcs838ea/view?usp=sharing
Scrp-F-46,Llegar más lejos: ocupar el espacio y hacerse visibles,Equipo femenino Scorpions en torneo patrocinado por Gatorade,2007,"La imagen muestra al equipo femenino de Scorpions posando antes de un encuentro deportivo junto a una valla publicitaria con el mensaje “Con Gatorade llegas más lejos”. La fotografía registra un momento de presentación oficial del equipo dentro de un torneo organizado, acompañado por árbitros y elementos de patrocinio deportivo.",https://drive.google.com/file/d/1NGMWiME2wvEYkj6m2PY-hZAY7AO_5Zvo/view?usp=sharing
Scrp-F-47,Una medalla para hacerse visible,Jugadora de Scorpions con medalla en torneo deportivo,2019,"La imagen muestra a una jugadora de Scorpions posando con una medalla al finalizar un torneo, sosteniendo un balón y vistiendo el uniforme del equipo frente al panel oficial del evento. La fotografía captura un momento de reconocimiento individual dentro de un proceso construido colectivamente a través del entrenamiento, la competencia y la permanencia en el fútbol.",https://drive.google.com/file/d/1ee2J1ijMkYLr45b39xsWrXJFhqWHw-fF/view?usp=sharing
Scrp-F-48,Retrato de jugadoras juveniles en proceso de formación deportiva,Jugadoras juveniles vinculadas a procesos formativos de Scorpions,2018,"La fotografía muestra a tres jóvenes futbolistas posando frente a una portería en una cancha de fútbol, utilizando uniforme deportivo asociado a procesos vinculados con Scorpions. La imagen tiene características de retrato institucional o promocional y destaca a las jugadoras de manera individual y colectiva dentro de un contexto deportivo amateur y formativo.",https://drive.google.com/file/d/1u30uzMMGCD6GmTE1zzkVvTvJZxSIBOhv/view?usp=share_link
Scrp-F-49,"Un carnet, una jugadora, una historia que sí merece ser recordada",Carnet oficial de participación – Laura Camila Tenjo Navarrete / Copa Futuro Talento,2019,"La imagen corresponde al carnet oficial de participación de Laura Camila Tenjo Navarrete como jugadora de Scorpions en la “Copa Futuro Talento”, organizada por Soccer Melgar. El documento registra información básica de identificación deportiva como categoría, equipo, ciudad y directora técnica, funcionando como evidencia material de su presencia dentro de una competencia oficial.",https://drive.google.com/file/d/1MgWRjVfYnpDH3GvAiINF-uvtRUfE3p66/view?usp=sharing
Scrp-F-50,Jugadores y jugadoras de Scorpions reunidos durante torneo,Fotografía grupal de integrantes juveniles de Scorpions en jornada competitiva,2021,"La fotografía muestra a un grupo de jóvenes jugadores y jugadoras de Scorpions reunidos en una cancha durante una jornada deportiva. Los integrantes del equipo visten el uniforme morado y amarillo característico del club y posan juntos frente a la cámara en un ambiente relajado y espontáneo. En el centro de la imagen destaca un jugador utilizando muletas, rodeado por sus compañeros y compañeras.",https://drive.google.com/file/d/1KtBT7NyeAq6clmKJ9xIlwbLIhkSrDFrk/view?usp=sharing
Scrp-F-51,Cruzar fronteras para representar un sueño colectivo,Itinerario de viaje internacional y delegación colombiana en torneo deportivo,2001,La imagen reúne un itinerario aéreo internacional de Continental Airlines y una fotografía de un grupo representando a Colombia durante un evento deportivo. Ambos elementos construyen un registro del desplazamiento y de la experiencia internacional vivida alrededor del fútbol formativo y femenino.,pagina56.jpeg
Scrp-F-52,"La imagen reúne dos momentos de un viaje internacional relacionado con el proceso deportivo de Scorpions. En la parte superior aparece una jugadora junto a un integrante del cuerpo técnico durante un trayecto en transporte, mientras que en la inferior se observa a un grupo de jóvenes recorriendo espacios urbanos durante la experiencia del viaje.",,2001,"La imagen reúne dos momentos de un viaje internacional relacionado con el proceso deportivo de Scorpions. En la parte superior aparece una jugadora junto a un integrante del cuerpo técnico durante un trayecto en transporte, mientras que en la inferior se observa a un grupo de jóvenes recorriendo espacios urbanos durante la experiencia del viaje.",https://drive.google.com/file/d/1z3aJ6-01HJgC4OulChZo5AXikRtGAyPy/view?usp=share_link
Scrp-F-53,Viaje grupal junto a las Cataratas del Niágara,Registro de viaje internacional de integrantes vinculados a Scorpions,2001,"Las fotografías muestran a un pequeño grupo de jóvenes y adultos durante un viaje frente a las Cataratas del Niágara, en un espacio turístico y recreativo al aire libre. En la primera imagen, los integrantes posan sentados observando el paisaje y el puente visible al fondo; en la segunda, aparecen visitantes cerca del borde de las cataratas mientras el agua domina la escena.",https://drive.google.com/file/d/1JMXx57owdBBwR4SWYRJ_66LlxYBbRGXk/view?usp=sharing
Scrp-F-54,Cuando una goleadora también se convierte en referente,,2019,,https://drive.google.com/file/d/1UlVRMSMo4B4dPkWHK7wvZnURpMqtniUu/view?usp=sharing
Scrp-F-55,Seguir llegando: nuevas generaciones que sostienen la historia,Equipo femenino Scorpions subcampeón – Liga Apertura DBS 2023,2023,"La imagen muestra al equipo femenino de Scorpions posando como subcampeón de la Liga Apertura 2023 en el Complejo Deportivo DBS. El registro reúne a jugadoras de distintas edades junto al cuerpo técnico, evidenciando la continuidad y permanencia del proyecto femenino dentro de la escuela.",https://drive.google.com/file/d/16ng16Bc0hySQ3vOKaNUraE2fBAT4Sddu/view?usp=sharing
Scrp-F-56,Jugar sin pedir permiso,Jugadora de Scorpions en acción durante partido oficial,2025,"La imagen captura a una jugadora de Scorpions en plena acción durante un partido, disputando el balón en un momento de velocidad e intensidad competitiva. La fotografía congela un instante donde el cuerpo, el movimiento y la decisión se convierten en protagonistas, alejándose de las representaciones pasivas que históricamente han marcado la imagen de las mujeres en el deporte.",https://drive.google.com/file/d/1LhrE4NELTEe8YBQbRelHncDXrGAgfBmG/view?usp=share_link
Scrp-F-57,Subcampeones: una generación en construcción,Equipo juvenil mixto de Scorpions durante la Liga Apertura DBS 2022,2022," La fotografía muestra al equipo juvenil de Scorpions posando después de obtener el subcampeonato de la Liga Apertura DBS 2022. La imagen reúne jugadores, jugadoras y cuerpo técnico alrededor de una misma camiseta y un mismo proyecto deportivo, evidenciando el carácter formativo y comunitario de la escuela.",https://drive.google.com/file/d/1x5Q0hle-JHbFE9AqQD6JvKIg7ZHpEnP7/view?usp=sharing
